Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",C_Disc_D5.0mm_W2.5mm_P5.00mm,5,C,
"D1, D2",SOT-23,2,BAT54S,
"GNDCH0, GNDCH1, GNDOUT1, SIGCH0, SIGCH1, SIGOUT1",PinHeader_1x01_P2.54mm_Vertical,6,TestPoint,
"J1, J2",Jack_3.5mm_CUI_SJ1-3523N_Horizontal,2,AudioJack3,
J3,BarrelJack_Horizontal,1,Barrel_Jack_Switch,
"R1, R2, R3, R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5,R,
"R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1K,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100R,
S1,PEC12R,1,PEC12R,
"SW1, SW2",SW_PUSH-12mm,2,SW_Push,
U1,MODULE_NUCLEO-G431KB,1,NUCLEO-G431KB,
U2,LM2596,1,YAAJ_DCDC_StepDown_LM2596,
U3,XIITIA-ST7796,1,XIITIA-STT796,
U4,MCP6021,1,MCP6021,
