Designator,Mid X,Mid Y,Rotation,Layer
C1,226.0,-73.4,90.0,top
C2,226.0,-83.4,270.0,top
C3,196.58,-77.0,180.0,top
C4,226.0,-97.5,270.0,top
C5,225.0,-110.0,0.0,top
D1,92.95,-104.9375,270.0,top
D2,100.9175,-105.0625,270.0,top
GNDCH0,75.5,-127.5,0.0,top
GNDCH1,75.5,-111.5,0.0,top
GNDOUT1,220.0,-144.480002,0.0,top
J3,178.2435,-76.125,270.0,top
R1,222.0,-70.82,270.0,top
R2,222.0,-85.98,90.0,top
R3,194.0,-80.9,0.0,top
R4,222.0,-100.08,270.0,top
R5,222.5,-119.08,270.0,top
R6,83.5,-114.42,90.0,top
R7,89.0,-114.5,90.0,top
R9,213.0,-141.0,90.0,top
S1,210.75,-78.4,90.0,top
SIGCH0,75.5,-119.5,0.0,top
SIGCH1,75.5,-103.5,0.0,top
SIGOUT1,220.0,-136.480002,0.0,top
SW1,210.4875,-97.5,0.0,top
SW2,210.4875,-116.5,0.0,top
U1,96.85,-76.12,90.0,top
U2,150.136,-76.89,180.0,top
U3,152.58,-118.905,90.0,top
U4,206.0,-145.129999,0.0,top
